ID,Set,ProductId,Visited,Highlighting,AOI,TFF,FPG,SPG,RFX,SFX,ODT
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 1,0,0,0,0,0,0
1,6,2,1,0,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,3,1,2,AoI 1,0,0,0,0,0,0
1,4,3,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,2,1,2,AoI 1,0,0,0,0,0,0
1,4,2,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
1,4,1,1,2,AoI 2,0,0,0,0,0,0
1,4,1,1,2,AoI 1,0,0,0,0,0,0
